aa	Афарский
ab	Абхазский
af	Африкаанс
am	Амхарский
an	Арагонский
ar	Арабский
as	Ассамский
ay	Аймарский
az	Азербайджанский
ba	Башкирский
be	Белорусский
bg	Болгарский
bh	Бихарский
bi	Бислама
bn	Бенгальский
bo	Тибетский
br	Бретонский
ca	Каталонский
co	Корсиканский
cs	Чешский
cy	Валлийский
da	Датский
de	Немецкий
dz	Бхутани
el	Греческий
en	Английский
eo	Эсперанто
es	Испанский
et	Эстонский
eu	Баскский
fa	Фарси
fi	Финский
fj	Фиджи
fo	Фарерский
fr	Французский
fy	Фризский
ga	Ирландский
gd	Шотландский
gl	Галисийский
gn	Гуарани
gu	Гуджарати
gv	Гэльский
ha	Хауса
he	Еврейский
hi	Хинди
hr	Хорватский
ht	Гаитянский
hu	Венгерский
hy	Армянский
ia	Интерлингва
id	Индонезийский
ie	Интерлингва
ii	Сычуань
ik	Инупиак
io	Идо
is	Исландский
it	Итальянский
iu	Инуктитут
ja	Японский
jv	Яванский
ka	Грузинский
kk	Казахский
kl	Гренландский
km	Камбоджийский
kn	Каннада
ko	Корейский
ks	Кашмирский
ku	Курдский
ky	Киргизский
la	Латинский
li	Лимбургский
ln	Лингала
lo	Лаосский
lt	Литовский
lv	Латвийский
mg	Малагасийский
mi	Маорийский
mk	Македонский
ml	Малаялам
mn	Монгольский
mo	Молдавский
mr	Маратхский
ms	Малайский
mt	Мальтийский
my	Бирманский
na	Науруанский
ne	Непальский
nl	Нидерландский
no	Норвежский
oc	Окситанский
om	Оромо
or	Ория
pa	Пенджабский
pl	Польский
ps	Пушту
pt	Португальский
qu	Кечуа
rm	Ретороманский
rn	Кирунди
ro	Румынский
ru	Русский
rw	Киняруанда
sa	Санскритский
sd	Синдхи
sg	Сангро
sh	Сербо-Хорватский
si	Сингальский
sk	Словацкий
sl	Словенский
sm	Самоанский
sn	Шона
so	Сомалийский
sq	Албанский
sr	Сербский
ss	Свати
st	Северный сото
su	Сунданский
sv	Шведский
sw	Суахили
ta	Тамильский
te	Телугу
tg	Таджикский
th	Тайский
ti	Тигринья
tk	Туркменский
tl	Тагальский
tn	Тсвана
to	Тонга
tr	Турецкий
ts	Тсонга
tt	Татарский
tw	Чви
ug	Уйгурский
uk	Украинский
ur	Урду
uz	Узбекский
vi	Вьетнамский
vo	Волапюк
wa	Валлон
wo	Волоф
xh	Коса
yi	Идиш
yo	Йоруба
zh	Китайский
zu	Зулусский
